name,url
Seviss Vaa,https://starwars.fandom.com//wiki/Seviss_Vaa
Darth Vectivus,https://starwars.fandom.com//wiki/Darth_Vectivus
Darth Vengean,https://starwars.fandom.com//wiki/Darth_Vengean
Vergere,https://starwars.fandom.com//wiki/Vergere
Jestat Vhool,https://starwars.fandom.com//wiki/Jestat_Vhool
Vindican,https://starwars.fandom.com//wiki/Vindican
Vitiate,https://starwars.fandom.com//wiki/Vitiate
Vowrawn,https://starwars.fandom.com//wiki/Vowrawn
Darth Wredd's master,https://starwars.fandom.com//wiki/Darth_Wredd%27s_master
Uthar Wynn,https://starwars.fandom.com//wiki/Uthar_Wynn
Darth Wyyrlok (II),https://starwars.fandom.com//wiki/Darth_Wyyrlok_(II)
Darth Wyyrlok (III),https://starwars.fandom.com//wiki/Darth_Wyyrlok_(III)
Yuvar Xal,https://starwars.fandom.com//wiki/Yuvar_Xal
XoXaan,https://starwars.fandom.com//wiki/XoXaan
Yakata,https://starwars.fandom.com//wiki/Yakata
Darth Zannah/Legends,https://starwars.fandom.com//wiki/Darth_Zannah/Legends
